cost,L2,trace
1.224335795237886515e+01,8.623975586977179475e-01,9.997071007261979503e-01
1.083343271715563816e+01,8.611883664977912911e-01,9.995572392322313870e-01
9.634891028198861562e+00,8.585234736247604470e-01,9.997138899184568883e-01
8.780280191853659488e+00,8.542349032595281111e-01,9.999472339070849536e-01
8.196786953676763687e+00,8.476194809474983938e-01,9.999935943638346147e-01
7.733387418408566027e+00,8.414452036819537462e-01,9.999361678431324396e-01
7.285458541501255603e+00,8.410641540058829690e-01,9.999208153307506119e-01
6.849345598602725183e+00,8.445769302768759701e-01,9.999633566882024649e-01
6.457034054283924185e+00,8.452138149208905382e-01,9.999970397608504147e-01
6.140200649412377309e+00,8.433792404778737151e-01,9.999928105843980397e-01
5.906304730496662714e+00,8.447594548331067710e-01,9.999668983024189162e-01
5.728917355311521575e+00,8.454669696778206456e-01,9.999576183242522287e-01
5.568164303840457130e+00,8.480854085108220364e-01,9.999713129122623778e-01
5.397340456226427108e+00,8.523229936309834054e-01,9.999943824728650954e-01
5.212733060625114767e+00,8.530759199400091974e-01,9.999966718115124165e-01
5.025632081468726753e+00,8.529811416705427307e-01,9.999525422431675414e-01
4.844602889678057522e+00,8.510019473867258544e-01,9.998436487241758597e-01
4.671950596540472844e+00,8.494197960858621554e-01,9.996554248126746645e-01
4.505652963535626832e+00,8.458694142885490042e-01,9.993861312149300291e-01
4.345299340840283797e+00,8.419947798116961257e-01,9.990447889214276733e-01
4.194553021066025345e+00,8.397918950121530113e-01,9.986319423033573894e-01
4.058783518064889684e+00,8.363447679521092137e-01,9.981794998585470369e-01
3.943032951928393093e+00,8.340295242358306549e-01,9.977397336497932923e-01
3.847380304079188296e+00,8.308567430133246834e-01,9.973749972141544573e-01
3.765076423041636922e+00,8.290765297667522793e-01,9.971516308826589015e-01
3.687792566622941859e+00,8.282199353796131369e-01,9.970239018128367325e-01
3.610905334704992420e+00,8.285309981885827790e-01,9.969330615780382931e-01
3.534033699563487119e+00,8.288378195001137039e-01,9.967666911643762173e-01
3.461490466647404673e+00,8.283303956198289075e-01,9.965148391972714625e-01
3.397091287093467749e+00,8.261162956212946273e-01,9.961183267225403037e-01
3.339678653326127566e+00,8.243162821765805948e-01,9.955681540330191259e-01
3.284291675135544430e+00,8.248482198574185187e-01,9.948316916533096466e-01
3.225901879499895930e+00,8.264887821249604638e-01,9.938591317194821473e-01
3.162784168834945397e+00,8.284456757999292265e-01,9.926154426872163539e-01
3.095775002194388836e+00,8.285570252963920801e-01,9.911169842789869788e-01
3.026091793962700116e+00,8.284850067252560457e-01,9.893769614430355519e-01
2.951681089515419298e+00,8.279743951878343333e-01,9.872775990206978936e-01
2.868664318672612179e+00,8.221203652329517331e-01,9.847748702252334674e-01
